"","ID","time","lon","lat","event_id","tagtype","sex","age","height_above_wgs84","fix","point_state","moving"
"1","AL-2020-04","2020-02-04 14:00:32",-87.1527557,32.0798073,14074649788,"4g - Night","m","After Second Year",65,"3D","Point state: Stationary",FALSE
"2","AL-2020-04","2020-02-04 19:58:56",-87.1527023,32.0798073,14074649789,"4g - Night","m","After Second Year",61,"3D","Point state: Stationary",FALSE
"3","AL-2020-04","2020-02-05 05:00:48",-87.1550064,32.0839539,14074649790,"4g - Night","m","After Second Year",56,"3D","Point state: Stationary",FALSE
"4","AL-2020-04","2020-02-07 05:00:48",-87.1547241,32.0838013,14074649791,"4g - Night","m","After Second Year",53,"3D","Point state: Stationary",FALSE
"5","AL-2020-04","2020-02-09 05:00:48",-87.1593094,32.0868225,14074649792,"4g - Night","m","After Second Year",51,"3D","Point state: Stationary",FALSE
"6","AL-2020-04","2020-02-13 05:00:48",-87.1578522,32.0883827,14074649793,"4g - Night","m","After Second Year",68,"3D","Point state: Stationary",FALSE
"7","AL-2020-04","2020-02-15 05:00:48",-87.1595917,32.0862846,14074648105,"4g - Night","m","After Second Year",54,"3D","Point state: Stationary",FALSE
"8","AL-2020-04","2020-02-17 05:00:48",-87.1590042,32.0870781,14074648106,"4g - Night","m","After Second Year",55,"3D","Point state: Stationary",FALSE
"9","AL-2020-04","2020-02-19 05:00:48",-87.1588211,32.08741,14074648107,"4g - Night","m","After Second Year",62,"3D","Point state: Stationary",FALSE
"10","AL-2020-04","2020-02-21 05:00:48",-87.1564178,32.0409203,14074648108,"4g - Night","m","After Second Year",65,"3D","Point state: Stationary",FALSE
"11","AL-2020-04","2020-02-23 05:00:48",-87.1589737,32.0872841,14074648109,"4g - Night","m","After Second Year",21,"3D","Point state: Stationary",FALSE
"12","AL-2020-04","2020-02-25 05:00:48",-87.1588211,32.08741,14074648110,"4g - Night","m","After Second Year",42,"3D","Point state: Stationary",FALSE
"13","AL-2020-04","2020-02-27 05:00:48",-87.1588516,32.08741,14074607078,"4g - Night","m","After Second Year",53,"3D","Point state: Stationary",FALSE
"14","AL-2020-04","2020-02-29 05:00:48",-87.1590805,32.0872307,14074607079,"4g - Night","m","After Second Year",54,"3D","Point state: Stationary",FALSE
"15","AL-2020-04","2020-03-02 05:00:48",-84.4078445,38.3455353,14074607080,"4g - Night","m","After Second Year",249,"3D","Point state: Migratory (spring)",FALSE
"16","AL-2020-04","2020-03-04 05:00:48",-84.4094315,38.3490944,14074607081,"4g - Night","m","After Second Year",255,"3D","Point state: Migratory (spring)",FALSE
"17","AL-2020-04","2020-03-08 04:01:04",-84.9207687,42.9927826,14514929469,"4g - Night","m","After Second Year",197,"3D","Point state: Stationary",FALSE
"18","AL-2020-04","2020-03-10 04:01:04",-84.9204636,42.9919357,14514929470,"4g - Night","m","After Second Year",198,"3D","Point state: Stationary",FALSE
"19","AL-2020-04","2020-03-12 04:01:04",-84.9181061,42.9942398,14121570358,"4g - Night","m","After Second Year",212,"3D","Point state: Stationary",FALSE
"20","AL-2020-04","2020-03-14 04:01:04",-84.9204636,42.9918327,14121570359,"4g - Night","m","After Second Year",209,"3D","Point state: Stationary",FALSE
"21","AL-2020-04","2020-03-15 03:58:56",-84.9204102,42.9918098,14121570360,"4g - Night","m","After Second Year",143,"3D","Point state: Stationary",FALSE
"22","AL-2020-04","2020-03-16 04:01:04",-84.9203568,42.9917831,14121570361,"4g - Night","m","After Second Year",194,"3D","Point state: Stationary",FALSE
"23","AL-2020-04","2020-03-17 03:58:56",-84.9204102,42.9918327,14138835827,"4g - Night","m","After Second Year",202,"3D","Point state: Stationary",FALSE
"24","AL-2020-04","2020-03-18 04:01:04",-84.9207153,42.9920387,14138835828,"4g - Night","m","After Second Year",34,"3D","Point state: Stationary",FALSE
"25","AL-2020-04","2020-03-19 03:58:56",-84.920433,42.991909,14214397396,"4g - Night","m","After Second Year",206,"3D","Point state: Stationary",FALSE
